inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
0.0,0,0,-1,-1.0,0.0,1.0,False,15,0.0850608911619322,0.061848772169086526,0.0900235134595464,-0.0,0.19514917896702932,0.8
1.0,0,-1,0,-1.0,-1.0,-1.0,True,15,0.03749562070142242,0.023407271119351886,0.040532444529577605,0.004368068665413241,0.0785933856624868,1.0
1.0,0,0,3,0.0,-1.0,-1.0,True,15,0.1126495682393303,0.11392502315437501,0.08562760401014669,0.0,0.3799383559976208,0.8
0.0,0,0,-2,-1.0,1.0,-1.0,True,14,0.16168621085212173,0.1347069531237473,0.18501242978865917,-0.0,0.3524309378255325,0.7857142857142857
0.0,1,-1,0,-1.0,-1.0,-1.0,True,14,0.03710098583861869,0.020676120976745937,0.03808636108470148,0.005953634021225729,0.07670167719678556,1.0
0.0,1,-2,0,-1.0,-1.0,-1.0,False,14,0.027819352972200565,0.018480576961265316,0.02241641195246892,0.0017646212459916655,0.06571703064490297,1.0
1.0,0,0,2,0.0,0.0,-1.0,False,14,0.14493374981242518,0.10673409096517557,0.17391914853444568,0.0,0.3243956819521919,0.7857142857142857
1.0,0,0,1,0.0,-1.0,1.0,False,13,0.07981336102571662,0.07097122503118229,0.08159496485981346,0.0,0.1983100689531722,0.6923076923076923
0.0,0,1,0,0.0,1.0,-1.0,True,12,-0.010799754273810755,0.010112790374135221,-0.009488573615859697,-0.02396944334723372,-0.0,0.0
0.0,0,0,-1,0.0,-1.0,0.0,False,12,0.08229502590712534,0.05367459510907602,0.07555147861775169,-0.0,0.19514917896702932,0.8333333333333334
0.0,0,1,0,0.0,-1.0,0.0,False,12,-0.013605546251268872,0.008888184802023255,-0.01099507233059055,-0.023898243567883393,-0.0,0.0
0.0,0,1,0,1.0,-1.0,0.0,True,12,-0.009273890037904362,0.007843909878241516,-0.008790447207240426,-0.02298356241595123,-0.0,0.0
1.0,0,-2,0,0.0,1.0,0.0,True,12,0.024769417070474833,0.017500720478046475,0.018165299175097488,-0.0002704891219924982,0.0538180610069704,0.9166666666666666
1.0,0,1,0,0.0,-1.0,0.0,False,11,-0.009750927256602992,0.007663438419547718,-0.006789839154204613,-0.02072955936328358,0.0,0.0
0.0,0,0,-3,-1.0,-1.0,0.0,False,11,0.22005645847958852,0.15196479897520732,0.20697374188779016,-0.0,0.39369706789220293,0.9090909090909091
1.0,0,1,0,0.0,1.0,-1.0,True,11,-0.0098161244969953,0.010101252112801072,-0.007497730293754334,-0.02170342139870779,0.0,0.0
1.0,0,0,2,-1.0,-1.0,1.0,True,11,0.13034374616048205,0.14311000306676375,0.08562760401014669,0.0,0.3750599674565794,0.7272727272727273
1.0,0,2,1,-1.0,0.0,-1.0,True,11,0.07413045281101836,0.06277002351674581,0.06045749126842748,-0.005789736019364167,0.17135327752033036,0.7272727272727273
0.0,1,-1,0,-1.0,-1.0,0.0,False,10,0.0327123636425421,0.02160334776568959,0.03523181322231597,0.005159692221445189,0.06278293933639034,1.0
